52.237.82.10 (Singapore, Central Singapore, Singapore, ISP: Microsoft Corporation)
20.42.88.166 (United States, Virginia, Boydton, ISP: Microsoft Corporation)
52.143.123.127 (United States, Washington, Quincy, ISP: Microsoft Corporation)
20.151.93.65 (Canada, Ontario, Toronto, ISP: Microsoft Corporation)
20.213.249.141 (Australia, Australian Capital Territory, Canberra, ISP: Microsoft Corporation)
20.163.110.81 (United States, Arizona, Phoenix, ISP: Microsoft Corporation)
104.42.136.212 (United States, California, San Francisco, ISP: Microsoft Corporation)
20.235.204.176 (India, Maharashtra, Pune, ISP: Microsoft Corporation)
20.235.204.176 (India, Maharashtra, Pune, ISP: Microsoft Corporation)
20.213.249.141 (Australia, Australian Capital Territory, Canberra, ISP: Microsoft Corporation)
20.217.16.57 (Israel, Tel Aviv, Tel Aviv, ISP: Microsoft Corporation)
20.42.88.166 (United States, Virginia, Boydton, ISP: Microsoft Corporation)
20.163.110.81 (United States, Arizona, Phoenix, ISP: Microsoft Corporation)
20.151.93.65 (Canada, Ontario, Toronto, ISP: Microsoft Corporation)
20.235.204.176 (India, Maharashtra, Pune, ISP: Microsoft Corporation)
20.213.249.141 (Australia, Australian Capital Territory, Canberra, ISP: Microsoft Corporation)
20.217.16.57 (Israel, Tel Aviv, Tel Aviv, ISP: Microsoft Corporation)
20.163.110.81 (United States, Arizona, Phoenix, ISP: Microsoft Corporation)
20.151.93.65 (Canada, Ontario, Toronto, ISP: Microsoft Corporation)
